Label,pps,bps,derived
AB,62,33445.11111,540.2222222
AB,199,33966,171
AB,286,34087.5,119
AB,217,35211,162
Attack,63,35294.85714,560.8571429
AB,400,37297.66667,93.16666667
AB,401,37418.33333,93.33333333
AB,365,37550,103
AB,127,37858,297
AB,366,37884.5,103.5
Attack,53,38423,720
AB,80,38802,487
AB,108,38951,362
AB,122,39092.5,320
Attack,49,39415.5,810
AB,334,39895,119.5
AB,103,40651.5,394
AB,83,42075.33333,505
AB,198,42146,212
AB,573,42383,74
AB,672,42982,64
AB,448,43867.5,98
AB,244,44132,181
AB,105,45659.5,433.5
Attack,61,46255,753.5
Attack,58,46984,810
Attack,64,47742.16667,747.8333333
AB,132,47795.5,362
Attack,60,47877,800.3333333
AB,106,48027,451
Attack,90,48568,540
AB,381,48604,128
Attack,71,48740.66667,687.6666667
AB,98,48935.33333,498.3333333
AB,391,49790,128
Attack,65,50131.5,774.25
AB,400,51015,128
AB,117,52797,451
AB,801,52863.5,66
AB,802,52927,66
AB,803,52970,66
Attack,79,53233,675
Attack,100,54030,540
AB,71,54278.5,767.25
AB,115,54968,477
Attack,62,54987.75,890.25
Attack,66,55379.28571,840.8571429
Attack,73,55929,763.5
Attack,104,56136,540
Attack,72,58416,810
Attack,69,58704,851
AB,124,59223,477
Attack,80,59433,742.5
AB,84,60217,716
AB,81,61822.5,764
Attack,96,62344,648
Attack,77,62346,810
AB,85,62565.5,740
Attack,93,62826,675
AB,124,66743.33333,536.3333333
Attack,85,68971,810
AB,99,75814,768.5
Attack,146,78591,540
Attack,81,79546,981.3333333
Attack,127,82077,648
Attack,105,85317,810
Attack,133,85885,648
Attack,111,90050,810
Attack,167,90158,540
Attack,170,91962,540
Attack,174,93962,540
AB,195,94396,483
AB,200,94832,473
Attack,182,98235,540
AB,1332,98535.5,74
Attack,123,99754,810
Attack,68,101673,1487
AB,1070,105939,99
AB,110,107702,979
Attack,76,111822,1474
AB,90,114866,1279
Attack,82,119632,1467
AB,2079,135135,65
AB,97,140299,1440
AB,2041,152040.5,74.5
AB,108,156401,1442
Attack,223,160285,720
Attack,205,166256,810
Attack,320,172855,540
Attack,334,180120,540
AB,131,191296,1456
Attack,364,196471,540
Attack,243,196507,810
AB,136,199557,1465.666667
Attack,267,216058,810
AB,158,217263,1373
AB,161,236216,1463
AB,167,236723,1419
AB,166,237182,1429
Attack,308,249461,810
Attack,2727,253624,93
AB,2066,254132,123
Attack,471,254357,540
AB,896,294039,328
Attack,3317,308488,93
Attack,11142,323104,29
Attack,802,432866,540
Attack,706,508475,720
Attack,1161,626814,540
Attack,890,720641,810
AB,2848,934268,328
Attack,764,1061015,1388
Attack,2041,1102041,540
AB,766,1148880,1500
Attack,2404,1730769,720
AB,41667,2916667,70
